课程号	课程名称	开课学院	余量	容量	待定(本专业/所有)	本账号已选	教学班	教师	周五上课时间	地点	学期段	考试时间	候选来源/页签
PHY2001G	大学物理（甲）Ⅱ	物理学院	0	113	0~0	否	(2026-2027-1)-PHY2001G-0086472-1	邱东江、鲁定辉	周三第3,4节;周五第1,2节	紫金港西1-406;紫金港西1-406	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
PHY2001G	大学物理（甲）Ⅱ	物理学院	0	113	0~0	否	(2026-2027-1)-PHY2001G-0094169-2	李宏年	周三第3,4节;周五第1,2节	紫金港西2-217;紫金港西2-217	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
PHY2001G	大学物理（甲）Ⅱ	物理学院	5	97	1~1	否	(2026-2027-1)-PHY2001G-0096424-1	罗孟波	周三第1,2节;周五第3,4节	紫金港西1-406;紫金港西1-406	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
PHY2001G	大学物理（甲）Ⅱ	物理学院	63	96	0~0	否	(2026-2027-1)-PHY2001G-0618114-1	张威	周三第1,2节;周五第3,4节	紫金港西2-315;紫金港西2-315	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
PHY2001GH	普通物理学Ⅱ（H）	物理学院	45	75	0~0	否	(2026-2027-1)-PHY2001GH-0007412-1	王业伍	周三第3,4节;周五第1,2节	紫金港西1-415;紫金港西1-415	秋冬	2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
PHY2001GH	普通物理学Ⅱ（H）	物理学院	31	75	0~0	否	(2026-2027-1)-PHY2001GH-0007412-2	王业伍	周三第1,2节;周五第3,4节	紫金港西1-415;紫金港西1-415	秋冬	2027年01月09日(08:00-10:00)	zdbk目录 / 通识必修-全部、通识必修-自然科学
PHY2002G	大学物理（乙）Ⅱ	物理学院	2	127	0~8	否	(2026-2027-1)-PHY2002G-0020309-1	陈海	周五第3,4,5节	紫金港西2-415	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2002G	大学物理（乙）Ⅱ	物理学院	73	127	0~5	否	(2026-2027-1)-PHY2002G-0090228-1	章林溪	周五第3,4,5节	紫金港西2-105	秋冬	2026年11月14日(14:00-16:00);2027年01月09日(08:00-10:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	1	30	0~2	否	(2026-2027-1)-PHY2005G-0017687-100	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	1	30	0~4	否	(2026-2027-1)-PHY2005G-0017687-101	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
